"","year","age","maritl","race","education","health","wage_status"
"1465",2009,62,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1466",2004,35,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1467",2005,22,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"1468",2003,55,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1469",2006,63,"2. Married","1. White","3. Some College","1. <=Good",1
"1470",2004,63,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",0
"1471",2008,39,"2. Married","1. White","4. College Grad","1. <=Good",0
"1472",2003,28,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"1473",2006,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1474",2006,58,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",0
"1475",2007,38,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1476",2004,49,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"1477",2003,62,"2. Married","1. White","3. Some College","1. <=Good",0
"1478",2004,36,"2. Married","1. White","3. Some College","1. <=Good",0
"1479",2004,54,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"1480",2005,26,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1481",2009,46,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"1482",2006,58,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1483",2005,22,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1484",2005,58,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1485",2008,63,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1486",2007,67,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",1
"1487",2008,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1488",2003,51,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1489",2003,46,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1490",2007,43,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1491",2004,40,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1492",2008,31,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1493",2007,41,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1494",2008,21,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"1495",2008,51,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1496",2003,43,"5. Separated","2. Black","3. Some College","2. >=Very Good",0
"1497",2004,34,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1498",2008,45,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1499",2008,35,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"1500",2004,33,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1501",2003,46,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"1502",2003,38,"1. Never Married","2. Black","1. < HS Grad","2. >=Very Good",0
"1503",2004,44,"1. Never Married","2. Black","4. College Grad","1. <=Good",0
"1504",2006,50,"1. Never Married","1. White","2. HS Grad","1. <=Good",1
"1505",2009,55,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1506",2009,49,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1507",2006,47,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",1
"1508",2003,40,"2. Married","4. Other","2. HS Grad","2. >=Very Good",1
"1509",2003,21,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1510",2008,60,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",0
"1511",2008,56,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"1512",2004,61,"2. Married","1. White","3. Some College","1. <=Good",1
"1513",2008,44,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1514",2007,43,"4. Divorced","1. White","5. Advanced Degree","1. <=Good",1
"1515",2005,29,"2. Married","1. White","3. Some College","1. <=Good",1
"1516",2003,38,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1517",2003,26,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1518",2006,28,"1. Never Married","4. Other","2. HS Grad","2. >=Very Good",0
"1519",2003,38,"1. Never Married","1. White","4. College Grad","1. <=Good",1
"1520",2006,45,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1521",2004,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1522",2003,33,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1523",2005,44,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1524",2006,48,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1525",2007,45,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1526",2007,56,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1527",2009,40,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1528",2006,71,"2. Married","2. Black","1. < HS Grad","1. <=Good",0
"1529",2006,30,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1530",2004,45,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1531",2004,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1532",2003,40,"2. Married","4. Other","3. Some College","2. >=Very Good",1
"1533",2004,59,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"1534",2007,46,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"1535",2003,38,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1536",2007,26,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1537",2005,53,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"1538",2004,46,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"1539",2007,42,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1540",2006,28,"1. Never Married","2. Black","3. Some College","1. <=Good",0
"1541",2004,30,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"1542",2008,34,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"1543",2008,46,"2. Married","1. White","4. College Grad","1. <=Good",1
"1544",2007,22,"1. Never Married","1. White","3. Some College","1. <=Good",0
"1545",2007,37,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1546",2008,27,"2. Married","1. White","3. Some College","1. <=Good",0
"1547",2008,52,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1548",2008,43,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1549",2004,52,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1550",2005,54,"1. Never Married","2. Black","3. Some College","1. <=Good",1
"1551",2007,47,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1552",2005,21,"1. Never Married","2. Black","3. Some College","2. >=Very Good",1
"1553",2005,42,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1554",2003,72,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1555",2003,38,"2. Married","3. Asian","2. HS Grad","1. <=Good",1
"1556",2009,53,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1557",2006,35,"5. Separated","1. White","3. Some College","2. >=Very Good",0
"1558",2008,60,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1559",2003,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1560",2005,45,"4. Divorced","2. Black","2. HS Grad","1. <=Good",0
"1561",2008,61,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1562",2008,64,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"1563",2004,39,"2. Married","3. Asian","1. < HS Grad","2. >=Very Good",0
"1564",2007,46,"2. Married","2. Black","3. Some College","1. <=Good",1
"1565",2008,25,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"1566",2003,80,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1567",2008,51,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1568",2004,58,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1569",2009,52,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1570",2004,45,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1571",2007,41,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1572",2004,42,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1573",2008,31,"1. Never Married","1. White","3. Some College","1. <=Good",0
"1574",2004,49,"4. Divorced","1. White","2. HS Grad","2. >=Very Good",1
"1575",2009,47,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"1576",2005,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1577",2006,53,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1578",2003,37,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1579",2003,52,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1580",2006,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1581",2006,39,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"1582",2009,63,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1583",2007,23,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1584",2004,62,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"1585",2004,43,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1586",2004,29,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",1
"1587",2004,43,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",1
"1588",2008,34,"2. Married","2. Black","4. College Grad","2. >=Very Good",1
"1589",2003,38,"2. Married","3. Asian","5. Advanced Degree","2. >=Very Good",0
"1590",2005,25,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1591",2005,64,"2. Married","2. Black","2. HS Grad","1. <=Good",1
"1592",2003,49,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1593",2009,46,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1594",2006,30,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1595",2003,33,"1. Never Married","1. White","3. Some College","1. <=Good",0
"1596",2007,29,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1597",2008,32,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1598",2007,54,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1599",2005,40,"1. Never Married","2. Black","2. HS Grad","1. <=Good",0
"1600",2005,24,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1601",2008,30,"5. Separated","1. White","1. < HS Grad","1. <=Good",0
"1602",2009,49,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1603",2006,47,"2. Married","4. Other","2. HS Grad","1. <=Good",1
"1604",2008,25,"1. Never Married","2. Black","2. HS Grad","2. >=Very Good",0
"1605",2007,44,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1606",2007,41,"4. Divorced","1. White","1. < HS Grad","1. <=Good",0
"1607",2005,54,"5. Separated","1. White","4. College Grad","2. >=Very Good",1
"1608",2009,59,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1609",2003,25,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1610",2009,63,"2. Married","2. Black","5. Advanced Degree","2. >=Very Good",0
"1611",2009,49,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1612",2008,35,"5. Separated","2. Black","3. Some College","2. >=Very Good",1
"1613",2006,24,"1. Never Married","3. Asian","2. HS Grad","1. <=Good",0
"1614",2003,66,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1615",2008,57,"2. Married","4. Other","1. < HS Grad","2. >=Very Good",0
"1616",2003,47,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1617",2006,44,"2. Married","1. White","4. College Grad","1. <=Good",1
"1618",2006,56,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1619",2004,34,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1620",2006,23,"2. Married","1. White","1. < HS Grad","2. >=Very Good",0
"1621",2008,30,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1622",2004,38,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1623",2004,43,"2. Married","2. Black","1. < HS Grad","2. >=Very Good",0
"1624",2007,58,"4. Divorced","1. White","3. Some College","1. <=Good",1
"1625",2005,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1626",2007,48,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1627",2005,35,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1628",2006,22,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1629",2007,50,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1630",2004,58,"2. Married","1. White","1. < HS Grad","1. <=Good",1
"1631",2003,20,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1632",2007,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1633",2003,50,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"1634",2009,55,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1635",2003,39,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"1636",2008,32,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1637",2008,50,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1638",2009,24,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"1639",2009,53,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1640",2003,35,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1641",2003,25,"1. Never Married","1. White","1. < HS Grad","2. >=Very Good",0
"1642",2006,24,"1. Never Married","3. Asian","4. College Grad","2. >=Very Good",1
"1643",2005,57,"5. Separated","1. White","4. College Grad","2. >=Very Good",1
"1644",2005,43,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"1645",2009,33,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1646",2005,40,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1647",2008,39,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1648",2004,32,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"1649",2005,48,"4. Divorced","1. White","4. College Grad","2. >=Very Good",1
"1650",2004,29,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"1651",2005,35,"4. Divorced","1. White","4. College Grad","2. >=Very Good",0
"1652",2004,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1653",2009,52,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1654",2005,50,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1655",2004,35,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"1656",2007,27,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1657",2004,57,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1658",2004,48,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1659",2009,41,"4. Divorced","2. Black","3. Some College","1. <=Good",0
"1660",2005,59,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1661",2003,55,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1662",2005,54,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"1663",2003,34,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1664",2009,43,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1665",2003,43,"4. Divorced","2. Black","4. College Grad","2. >=Very Good",1
"1666",2003,62,"3. Widowed","1. White","1. < HS Grad","1. <=Good",0
"1667",2006,45,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1668",2004,40,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1669",2003,33,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1670",2005,45,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1671",2009,21,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1672",2009,54,"2. Married","3. Asian","1. < HS Grad","1. <=Good",0
"1673",2003,43,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1674",2004,54,"2. Married","1. White","4. College Grad","1. <=Good",1
"1675",2004,35,"2. Married","1. White","1. < HS Grad","1. <=Good",1
"1676",2008,23,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1677",2006,61,"3. Widowed","1. White","2. HS Grad","2. >=Very Good",1
"1678",2004,51,"4. Divorced","1. White","4. College Grad","2. >=Very Good",1
"1679",2006,43,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1680",2003,20,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1681",2007,51,"2. Married","4. Other","3. Some College","2. >=Very Good",1
"1682",2009,65,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1683",2009,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1684",2008,24,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1685",2003,36,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1686",2005,45,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1687",2008,33,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1688",2009,36,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"1689",2004,32,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1690",2009,45,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1691",2003,51,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1692",2005,33,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1693",2003,47,"4. Divorced","1. White","3. Some College","1. <=Good",0
"1694",2003,37,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1695",2008,41,"2. Married","1. White","3. Some College","1. <=Good",1
"1696",2005,23,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1697",2009,57,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1698",2006,61,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1699",2007,47,"4. Divorced","1. White","3. Some College","2. >=Very Good",0
"1700",2003,29,"2. Married","3. Asian","4. College Grad","2. >=Very Good",0
"1701",2005,37,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1702",2005,57,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1703",2004,39,"1. Never Married","1. White","5. Advanced Degree","1. <=Good",0
"1704",2007,59,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1705",2007,31,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1706",2009,26,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1707",2009,51,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1708",2006,38,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1709",2006,51,"2. Married","1. White","4. College Grad","1. <=Good",1
"1710",2004,50,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1711",2005,32,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1712",2007,38,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1713",2005,49,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1714",2005,40,"1. Never Married","1. White","3. Some College","2. >=Very Good",0
"1715",2007,60,"2. Married","3. Asian","5. Advanced Degree","1. <=Good",1
"1716",2007,30,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1717",2003,41,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1718",2009,32,"1. Never Married","1. White","3. Some College","1. <=Good",1
"1719",2009,26,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1720",2004,41,"2. Married","1. White","3. Some College","1. <=Good",0
"1721",2008,53,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1722",2005,35,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1723",2008,50,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1724",2004,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1725",2003,50,"5. Separated","1. White","2. HS Grad","1. <=Good",0
"1726",2009,19,"1. Never Married","2. Black","2. HS Grad","1. <=Good",0
"1727",2004,42,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1728",2007,53,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",0
"1729",2004,22,"1. Never Married","2. Black","3. Some College","1. <=Good",0
"1730",2003,49,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1731",2005,33,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",1
"1732",2005,31,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1733",2004,43,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"1734",2009,57,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1735",2005,40,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1736",2003,48,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1737",2004,46,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1738",2009,58,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1739",2003,50,"2. Married","1. White","1. < HS Grad","2. >=Very Good",1
"1740",2005,38,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1741",2004,33,"1. Never Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1742",2007,52,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1743",2004,48,"2. Married","1. White","1. < HS Grad","1. <=Good",0
"1744",2006,53,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1745",2008,37,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1746",2007,43,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1747",2008,54,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1748",2004,41,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1749",2005,57,"2. Married","1. White","4. College Grad","1. <=Good",0
"1750",2007,54,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1751",2009,25,"4. Divorced","1. White","2. HS Grad","1. <=Good",0
"1752",2003,35,"5. Separated","1. White","1. < HS Grad","2. >=Very Good",0
"1753",2008,29,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1754",2009,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1755",2005,43,"2. Married","1. White","4. College Grad","1. <=Good",1
"1756",2007,41,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1757",2003,52,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1758",2005,48,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1759",2003,51,"2. Married","2. Black","2. HS Grad","2. >=Very Good",0
"1760",2004,55,"2. Married","1. White","3. Some College","2. >=Very Good",1
"1761",2004,37,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",0
"1762",2007,48,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1763",2003,42,"2. Married","1. White","1. < HS Grad","1. <=Good",1
"1764",2007,43,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1765",2006,32,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1766",2006,33,"1. Never Married","1. White","4. College Grad","1. <=Good",0
"1767",2003,48,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1768",2009,20,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"1769",2005,43,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1770",2003,58,"4. Divorced","2. Black","2. HS Grad","1. <=Good",0
"1771",2004,38,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1772",2008,23,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1773",2009,54,"4. Divorced","1. White","2. HS Grad","1. <=Good",1
"1774",2007,66,"2. Married","1. White","5. Advanced Degree","1. <=Good",0
"1775",2009,47,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1776",2003,35,"2. Married","1. White","3. Some College","1. <=Good",0
"1777",2008,39,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1778",2005,35,"1. Never Married","2. Black","3. Some College","2. >=Very Good",1
"1779",2006,40,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1780",2006,41,"2. Married","3. Asian","2. HS Grad","2. >=Very Good",1
"1781",2004,40,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1782",2006,50,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"1783",2004,35,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1784",2009,43,"2. Married","1. White","3. Some College","1. <=Good",0
"1785",2005,26,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1786",2009,23,"1. Never Married","1. White","2. HS Grad","2. >=Very Good",0
"1787",2003,61,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1788",2004,24,"1. Never Married","1. White","4. College Grad","1. <=Good",0
"1789",2006,66,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"1790",2006,50,"3. Widowed","1. White","2. HS Grad","2. >=Very Good",1
"1791",2005,22,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1792",2004,62,"2. Married","2. Black","2. HS Grad","1. <=Good",0
"1793",2003,55,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1794",2004,41,"2. Married","1. White","4. College Grad","2. >=Very Good",0
"1795",2005,54,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1796",2009,29,"2. Married","3. Asian","4. College Grad","2. >=Very Good",1
"1797",2004,39,"2. Married","2. Black","2. HS Grad","1. <=Good",1
"1798",2006,71,"4. Divorced","1. White","4. College Grad","1. <=Good",0
"1799",2003,22,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1800",2007,48,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1801",2009,35,"2. Married","1. White","3. Some College","1. <=Good",1
"1802",2003,46,"2. Married","1. White","4. College Grad","1. <=Good",0
"1803",2003,51,"2. Married","1. White","1. < HS Grad","1. <=Good",1
"1804",2005,55,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1805",2005,36,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1806",2008,57,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1807",2005,21,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1808",2006,60,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1809",2006,41,"1. Never Married","2. Black","3. Some College","1. <=Good",0
"1810",2004,56,"2. Married","1. White","4. College Grad","1. <=Good",1
"1811",2005,32,"1. Never Married","1. White","4. College Grad","2. >=Very Good",0
"1812",2003,32,"2. Married","1. White","2. HS Grad","1. <=Good",0
"1813",2006,36,"4. Divorced","1. White","3. Some College","2. >=Very Good",1
"1814",2006,28,"1. Never Married","1. White","2. HS Grad","1. <=Good",0
"1815",2009,60,"2. Married","1. White","5. Advanced Degree","1. <=Good",1
"1816",2003,41,"2. Married","1. White","3. Some College","2. >=Very Good",0
"1817",2006,55,"2. Married","1. White","3. Some College","1. <=Good",0
"1818",2003,36,"2. Married","2. Black","3. Some College","2. >=Very Good",1
"1819",2006,46,"1. Never Married","2. Black","3. Some College","2. >=Very Good",0
"1820",2008,62,"2. Married","1. White","2. HS Grad","2. >=Very Good",0
"1821",2006,44,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1822",2006,36,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1823",2004,41,"2. Married","1. White","2. HS Grad","2. >=Very Good",1
"1824",2006,22,"1. Never Married","1. White","4. College Grad","2. >=Very Good",1
"1825",2008,51,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1826",2008,57,"2. Married","1. White","1. < HS Grad","1. <=Good",1
"1827",2005,55,"2. Married","1. White","2. HS Grad","1. <=Good",1
"1828",2003,36,"2. Married","1. White","4. College Grad","2. >=Very Good",1
"1829",2008,43,"2. Married","1. White","5. Advanced Degree","2. >=Very Good",1
"1830",2003,38,"2. Married","1. White","3. Some College","1. <=Good",0
"1831",2006,27,"1. Never Married","1. White","3. Some College","2. >=Very Good",1
"1832",2007,32,"2. Married","1. White","3. Some College","2. >=Very Good",1
